student_id,student_email,course,grade,subject,period,late,year
1,juan@correo.com,1-A,3.8,Matemáticas,1,0,2025
1,juan@correo.com,1-A,4.1,Matemáticas,1,0,2025
1,juan@correo.com,1-A,4.5,Matemáticas,1,0,2025
1,juan@correo.com,1-A,3.8,Matemáticas,2,0,2025
1,juan@correo.com,1-A,3.7,Matemáticas,2,0,2025
1,juan@correo.com,1-A,4.4,Matemáticas,2,0,2025
1,juan@correo.com,1-A,3.5,Lengua,1,0,2025
1,juan@correo.com,1-A,3.6,Lengua,1,0,2025
1,juan@correo.com,1-A,4.1,Lengua,1,0,2025
1,juan@correo.com,1-A,3.4,Lengua,2,0,2025
1,juan@correo.com,1-A,3.9,Lengua,2,0,2025
1,juan@correo.com,1-A,4.0,Lengua,2,0,2025
1,juan@correo.com,1-A,3.5,Primerología,1,0,2025
1,juan@correo.com,1-A,3.6,Primerología,1,0,2025
1,juan@correo.com,1-A,4.1,Primerología,1,0,2025
1,juan@correo.com,1-A,3.8,Primerología,2,0,2025
1,juan@correo.com,1-A,3.8,Primerología,2,0,2025
1,juan@correo.com,1-A,4.1,Primerología,2,0,2025
1,juan@correo.com,1-A,3.1,Lengua Castellana,1,0,2025
1,juan@correo.com,1-A,3.5,Lengua Castellana,1,0,2025
1,juan@correo.com,1-A,3.8,Lengua Castellana,1,0,2025
1,juan@correo.com,1-A,3.6,Lengua Castellana,2,0,2025
1,juan@correo.com,1-A,4.0,Lengua Castellana,2,0,2025
1,juan@correo.com,1-A,3.6,Lengua Castellana,2,0,2025
1,juan@correo.com,1-A,2.8,Inglés,1,0,2025
1,juan@correo.com,1-A,3.4,Inglés,1,0,2025
1,juan@correo.com,1-A,3.7,Inglés,1,0,2025
1,juan@correo.com,1-A,3.1,Inglés,2,0,2025
1,juan@correo.com,1-A,3.1,Inglés,2,0,2025
1,juan@correo.com,1-A,3.5,Inglés,2,0,2025
1,juan@correo.com,1-A,3.6,Religión,1,0,2025
1,juan@correo.com,1-A,3.8,Religión,1,0,2025
1,juan@correo.com,1-A,3.9,Religión,1,0,2025
1,juan@correo.com,1-A,3.6,Religión,2,0,2025
1,juan@correo.com,1-A,3.8,Religión,2,0,2025
1,juan@correo.com,1-A,4.2,Religión,2,0,2025
1,juan@correo.com,1-A,3.7,Informática,1,0,2025
1,juan@correo.com,1-A,3.6,Informática,1,0,2025
1,juan@correo.com,1-A,4.0,Informática,1,0,2025
1,juan@correo.com,1-A,3.8,Informática,2,0,2025
1,juan@correo.com,1-A,3.8,Informática,2,0,2025
1,juan@correo.com,1-A,3.9,Informática,2,0,2025
