student_id,student_email,course,grade,subject,period,late,year,attendance,assignment_type,exam_score,task_score,estrato,edad
11,maria.garcia@estudiantescol.edu.co,1-A,4.2,Matemáticas,1,0,2024,0.92,EXAMEN,4.2,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.97,Matemáticas,1,1,2024,0.92,EXAMEN,4.97,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.9,Matemáticas,1,0,2024,0.92,TAREA,0,4.9,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.8,Matemáticas,1,0,2024,0.92,PROYECTO,0,4.8,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.68,Matemáticas,1,0,2024,0.92,QUIZ,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.69,Matemáticas,1,0,2024,0.92,QUIZ,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.76,Matemáticas,1,1,2024,0.92,PARTICIPACION,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.72,Matemáticas,1,0,2024,0.92,PROYECTO,0,4.72,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.72,Matemáticas,1,0,2024,0.92,PARTICIPACION,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.77,Matemáticas,2,1,2024,0.92,PARTICIPACION,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.74,Matemáticas,2,1,2024,0.92,QUIZ,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.71,Matemáticas,2,1,2024,0.92,PROYECTO,0,4.71,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.87,Matemáticas,2,0,2024,0.92,PARTICIPACION,0,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.84,Matemáticas,2,0,2024,0.92,PROYECTO,0,4.84,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.98,Matemáticas,2,1,2024,0.92,TAREA,0,4.98,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.8,Matemáticas,2,0,2024,0.92,EXAMEN,4.8,0,4,7
11,maria.garcia@estudiantescol.edu.co,1-A,4.85,Matemáticas,3,0,2024,0.92,PROYECTO,0,4.85,4,7
